predict,residual
311463292.2,360117154.8
98977414.46,-87977414.46
29803509.26,-24777938.26
122077076.4,-150902010.4
4916100.446,13929610.55
111139952.3,171638060.7
86481961.28,-49151088.28
115388018.4,-73050778.35
266899213.8,396516927.2
233703303.1,-1752919.135
62879517.45,184554732.6
-12559070.9,27502009.9
51998934.19,124744126.8
40677933.05,-52687532.05
161859104.2,-76711595.21
-22096613.94,27057007.94
45035296.11,-53253118.11
23900695.5,-12110322.5
22497621.85,-50398531.85
111486995.8,4210860.232
101734752.7,-29828380.7
3789106.248,-11496827.25
36037622.02,-121359067
22995165.58,-33076420.58
120186464,-47825827.96
-55998974.46,46003474.46
-3992056.86,-5076959.14
109443184.9,162799441.1
264912251.2,-106440435.2
71070583.32,-30655822.32
36555350.68,7512895.324
113311632.3,-124490303.3
125240245.7,-40412929.67
208089931.7,665694263.3
-10511632.75,36581200.75
215977728.1,87601309.88
39818317.12,-26566721.12
156725777,-70996142.04
-6847313.371,12265974.37
136100672.8,-92755083.77
24699693.6,-27420254.6
-58260114.98,57760356.98
-52547030.27,72449983.27
57934006.11,14771739.89
57563702.1,-58747491.1
17615909.57,9884090.431
33723318.53,-24803318.53
-2649725.026,-3276785.974
-61035641.81,56340836.81
74649972.68,-88090415.68
-60674909.87,204643744.9
-3556877.721,26975037.72
42798384.19,-42523384.19
-21501701.95,19845318.95
79543729.97,188378268
-34746221.01,28024618.01
84790745.37,-82590745.37
4865086.252,-4865536.252
79915935.11,-78065935.11
37113491.12,19686388.88
48074629.8,-44996929.8
60607379.6,-41343975.6
-4307954.917,19662944.92
17823612.99,-16987860.99
43322831.44,6096040.556
-58955401.29,55142513.29
130774717.3,-111620395.3
141419020.6,15507126.39
29681599.7,-37646905.7
82575884.72,-78052658.72
10958390.55,-21796601.55
-78867427.13,68884899.13
60986829.25,98577842.75
5971511.443,97891451.56
107176580.1,40056532.92
239057759.3,154169198.7
53539452.42,-33859630.42
131463413.1,-55485147.08
109980519.4,38447064.64
174944804.4,-38377223.45
-58609325.19,60611745.19
-49855710.37,37876374.37
207227716.1,-183260461.1
86590680.99,-60408738.99
27790914.93,-9817920.931
-50710164.35,54551848.35
48272471.26,77205876.74
-58095811.5,58872854.5
-23789154.07,24391508.07
27806506.87,18742200.13
-44702200.78,92975373.78
8071941.538,-18450895.54
236765891.5,13491034.53
18299226.97,-20078855.97
92677390.6,-87877390.6
117288946.1,-116508946.1
106221870.4,-103321870.4
157072902.5,-108817132.5
26206962.87,-38110662.87
30809808.43,-9313488.43
24266979.41,-24266979.41
314873768.4,182989006.6
-9656875.891,98989837.89
46317069.6,-36390856.6
221314663.8,319329902.2
28596506.78,56387528.22
-105789594.2,123424461.2
165977478.8,-135594188.8
-21372302.4,20767302.4
57769481.55,49230518.45
43540791.55,-46040791.55
-8103342.764,-4453804.236
-72252858.5,64305944.5
85195465.69,-72406465.69
67274331.19,17940762.81
5093981.279,-7405708.279
-56861373.47,56361373.47
9966782.763,-12481655.76
127456570.2,-159113938.2
283645252,49706293.96
-3247898.014,-151205.9856
213263224.4,-112097437.4
-23481095.86,38793367.86
-8585717.154,1605740.154
-4191553.813,3968638.813
46508200.22,-38889473.22
3246720.811,42553343.19
-1970724.202,14644800.2
-50069172.7,43924622.7
80068485.43,-66968485.43
45041869.14,-42641943.14
68741403.5,180032409.5
114159288.2,-120259288.2
-49874583.27,55674583.27
9650973.975,-12213092.97
348778287.3,359621712.7
147509947.9,-313220037.9
72085077.86,830033.1426
84305800.27,-13365389.27
271287230.7,744152763.3
53479967.48,37442207.52
62111160.29,-86148685.29
69071527.99,-66383924.99
36977634.79,-61971235.79
-64258.85073,-21150726.15
70615689.02,-63428314.02
117847233.7,94806948.27
159503946.5,-157503946.5
1038601.145,3868658.855
38759747.19,8799164.805
146085182.6,86908936.4
-12539873.82,17539873.82
-50620509.02,60620499.02
-31046970.08,22081559.08
-16178707.08,68572995.08
272785381.9,444638070.1
-61441255.96,99570773.96
80090226.27,-18914935.27
25203528.18,-27944487.18
259354537.5,-88969916.48
6720343.387,-28443392.39
83908812.38,4023588.622
75908761.41,10419865.59
65966836.97,9133612.034
143976436.8,-135799967.8
-652196.061,-9317520.939
86823426.91,-31456689.91
30708915.14,-23814690.14
2198750.571,85931121.43
-22960163.55,22769493.55
82273822.29,-71023822.29
97969130.66,-114184812.7
-21710239.37,93156314.37
252069570,21306033.01
79188665.85,105550048.2
-80859714.6,56086401.6
167154625.9,-7569297.879
57180697.53,-56912835.53
-34431738.61,-11078432.39
161927671.3,-103589310.3
1705774.765,-26273500.76
17283067.56,20816932.44
-26545405.6,24168251.6
21622621.51,-27968829.51
20967908.86,145146661.1
37187809.66,101086313.3
67390962.86,-76878712.86
-13236691.63,-19656751.37
41106712.71,56911809.29
-37032739.47,37046150.47
39390913.04,90609086.96
-1688529.963,5182257.963
11925017.68,-12304581.68
53332958.9,-274172.9001
192949763.6,19623659.4
-4156655.013,4443592.013
297075804.2,9147084.826
64601643.09,-49173290.09
101863074.5,5607671.496
106334002,-110741496
-55507437.98,53010440.98
382333332.3,-379633332.3
13233637.91,-11603703.91
12073500.69,-23955871.69
-96545059.91,96540059.91
1140170.015,11259829.99
63865509.72,-54865509.72
-48824907.8,52664305.8
113734976.8,39977455.21
35388543.14,-24962447.14
275719694,23606923.97
8076368.612,-20148300.61
92950046.31,-134155025.3
-30592143.99,48901274.99
115085648,-131563819
67873186.22,-65751146.22
115985234.8,-96134062.79
78885605.25,-18679389.25
77014498.76,55452257.24
2989468.594,-2905232.594
-49448598.63,73941357.63
-33065261.98,19693474.98
-9795874.089,-10233309.91
103836497,-33754656
293101256.9,635645739.1
71658590.12,29127806.88
251001150,-230594684
23252690.41,-21941256.41
-50503696.08,71848696.08
-19233453.7,6024432.698
105313268.6,-10820438.62
-46055715.55,56428321.55
-27169559.35,21336412.35
136434859.4,6182570.608
37308553.67,48736084.33
84917134.05,36202084.95
77623078.57,33264564.43
199476856.6,-84398270.63
78801056.65,55129539.35
-82688633.48,80437086.48
46315109.66,-29776086.66
60349113.64,58083742.36
23713453.2,-2747599.2
-72372346.83,45984815.83
-29421768.92,24833229.92
90042043.53,-90190043.53
96168611.09,-13268611.09
23349787.01,-53241439.01
353298.8704,5646701.13
-11964456.26,25909456.26
25501064.99,-54534064.99
293509965,573459738
142935537.2,-155270978.2
84827463.85,32198672.15
-51721649.2,46551606.2
288740745.3,41138013.68
64449458.94,250354272.1
119265588.8,-8596048.787
16276085.11,-14087163.11
-33997967.88,123975071.9
3525726.673,-10529915.67
63124791.47,-37873420.47
-34971847.68,4059416.678
45781690.8,50218309.2
10301150.94,-20418573.94
10654723.37,31822284.63
-15694897.81,-4660994.194
107383438.3,-108810629.3
62577621.47,116153747.5
160217641.2,-92028738.2
1779455.706,-1475617.706
34988804.66,62275075.34
17210811.94,49741493.06
-34665728.52,30665728.52
796354.1068,22786820.89
190611179,3859215.034
-42676682.89,33175656.89
56741184.74,13691742.26
14653569.63,-2822066.625
-39549633.56,35173453.56
224807564.2,-138558751.2
74164064.76,-64039802.76
-10235546.01,9317272.009
-49182680.51,50982760.51
46676273.04,-23144803.04
-5549240.427,51013564.43
-2995616.37,-7499447.63
-40704379.18,57869209.18
-31321235.87,31798028.87
69272668.96,-65529690.96
35802550.74,-36590256.74
8028828.277,-17408828.28
-9242073.229,6856846.229
-42250044.54,42250084.54
-6158886.774,62979922.77
136871188.9,-28300361.94
-18226869.56,55650936.56
99461592.33,-99374799.33
66652812.21,-75273819.21
72585187.85,-206136.855
3652939.456,-8631678.456
14364476.43,-12364476.43
-1914466.364,-1840717.636
23212294.39,-5490659.386
36994292.55,-41358987.55
18809605.42,-676591.4223
47247401.05,-84437401.05
32814704.67,-47603716.67
275587976.6,158440702.4
3828949.338,-6176914.338
230472871.9,-103003854.9
57001970.99,8712904.008
240784736.7,555902080.3
66938551.01,-68038551.01
29693343.31,-22028966.31
31933295.38,36399447.62
33782223.89,-44809715.89
-100063807.2,99371769.17
79903568.7,77389562.3
183746495,240524124
-28106464.99,19511709.99
52707547.89,114591359.1
55575785.01,-33979534.01
2020955.28,-10035838.28
55843410.62,-5206424.618
94165037.38,-96884711.38
-98410752.36,96966752.36
25152304.05,-5054489.054
59522104.23,-54762000.23
44884070.73,-47487513.73
76352650.92,62317349.08
143098433.7,225041571.3
-13701677.22,13059529.22
188386160.9,471441301.1
17004774.98,-26709024.98
40734690.03,-8272252.027
2825611.029,-5802883.029
-13085535.51,3110317.514
137840809.6,-135211488.6
70449853.64,-46028386.64
28899365.31,-17815104.31
123171185.4,-117558992.4
32828244.6,-20262204.6
-20101226.7,103834923.7
160253602.1,-103551542.1
75144798.05,-2305131.048
195981917.1,-12049834.08
120570866.1,30114586.85
254801637.3,-207328028.3
62090676.71,2290250.294
133331252.4,-97681652.42
-33293769.5,83710674.5
38293366.76,-68499870.76
26891120.79,7932078.208
-24989619.4,98380764.4
-33506883.7,15180305.7
136436322.2,-138945948.2
257787110.5,-63135697.51
78950079.88,-35669981.88
39658559.67,-20124776.67
52084091.4,-51647428.4
-970568.5882,-10496204.41
21974254.32,-28624588.32
-98775992.69,98381247.69
-23164357.75,20651747.75
25948428.55,19494511.45
31440896.41,64631752.59
118708363.5,-155839315.5
68304011.34,12715278.66
1937268.696,22036668.3
64514255.24,-29927671.24
-1339575.756,-10090860.24
23081560.39,-26481560.39
94536453.55,-86797438.55
-14077579.14,27252145.14
68243848.18,77520177.82
20739632.2,-32052930.2
27448632.2,-36300450.2
-53977083.95,48253974.95
72357092.39,30700440.61
20870776.64,-14084975.64
69297801.97,-59297801.97
-21895152.09,19061227.09
39222843.93,197735384.1
-16835642.16,15367642.16
-79064901.6,77338038.6
165265797.7,-46527404.66
18478308.98,-11473051.98
59736296.53,-75735175.53
207399971.1,266322846.9
146390862.8,45844001.16
66680424.7,10906638.3
218145413.5,420812751.5
272692703.8,360178922.2
38701174.46,29872599.54
15953471.87,7046528.131
56017364.67,-70907704.67
82732536.89,-41610510.89
7740515.42,-18373485.42
-50855621.83,44810660.83
-31271937.52,66945544.52
-33539280.2,31492478.2
116098375,-118260026
345672.8734,97414461.13
29925729.65,95954813.35
173201052.3,-171403986.3
33102373.22,72794048.78
72003076.78,29069137.22
21486696.02,-9699958.017
101149610.9,65315426.14
-34496628.19,21316215.19
13277434.51,-13077529.51
-56489437.75,123355001.8
-38426614.88,38192854.88
66891179.46,-67597516.46
13531041.89,-16410966.89
84844760.52,-81974511.52
135139326.3,-131774468.3
127678065.6,-125577019.6
-4578298.657,23365258.66
-39040735.14,30746735.14
-63068538.14,65252703.14
76422643.22,-25787606.22
209986299.3,-209948402.3
-140216944.1,136629944.1
145334449.9,-151374698.9
4114094.279,-11970643.28
194929787,447890672
-3326845.273,-19166966.73
323349187.1,542310624.9
130286233.9,-65111227.85
74833389.39,-91002041.39
37561820.68,-38239866.68
62539288.81,5460711.193
92871844.73,-83569693.73
67403818.89,-112952921.9
132707439.6,67139914.37
52101752.33,-58701791.33
180196116.5,177414302.5
30979732.06,-10505392.06
13145735.33,13223173.67
-4203706.83,3215161.83
-6551732.739,6271883.739
234604606.9,346336173.1
17223093.13,226349650.9
-67832901.33,48382101.33
3519090.518,-14137425.52
72844091.63,-63244091.63
38192972.17,-80392972.17
106095275.6,-51471562.61
79188617.53,60187636.47
61025589.72,-69117904.72
-88864202.93,88735879.93
-18570621.05,60598591.05
45928903.52,6038083.479
19016448.92,29181544.08
34209144.76,-39384052.76
-24831086.1,24013787.1
37771963.4,38659404.6
-116364479.6,117564479.6
151961692.6,-111857797.6
57028369.48,-51231825.48
12203462.24,9034185.76
131912669.8,-124119469.8
43782121.61,-33703790.61
62070666.38,-70400046.38
242996823.4,-80543991.4
13741889.07,-12438207.07
84746588.29,-78875475.29
234421427,223259244
-28873337.94,27186099.94
223332247,119667753
122480212.9,-125613213.9
61996483.48,-61596329.48
-26361017.54,16803825.54
31103541.58,-72761409.58
110589618.3,53843046.68
127402521.1,-72924105.08
62303896.89,18892522.11
369612.7724,-3755829.772
87076172.21,-109670752.2
33105573.64,-22035140.64
226967177.3,-159567112.3
16360624.74,-25929447.74
197550059.5,-100060237.5
8106421.496,20659699.5
25588373.47,82732194.53
117990166.9,-81041002.9
13470418.96,-28462427.96
-42116501.27,22126790.27
35134885.63,90081582.37
91262309,-39892494
94250190.1,-33891279.1
13238350.45,-8985503.447
30313641.41,5428459.591
-20272469.53,19753889.53
10403759.41,-14877250.41
11711109.52,-12015422.52
3854975.841,10645024.16
35648291.87,-31615465.87
131704537.8,-99933935.83
-61836276.49,59852620.49
1692137.265,-5704816.265
55694632.74,-10840201.74
104922237.2,-100922237.2
-88839781.94,117041213.9
56664302.07,-29635550.07
25449536.33,-7053834.327
179128733.4,-109946903.4
-65647982.12,65863045.12
-67167720.21,74047691.21
-10169692.21,15479622.21
8489981.138,-37206344.14
85132266.21,-87131680.21
50354759.8,-57230908.8
-45912035.42,81179017.42
168166035.8,268476903.2
-12198650.4,6347479.403
-45744898.16,71520898.16
84081020.46,-97925239.46
106588907.3,-46295193.28
17582030.38,4118074.623
79593392.16,-76908376.16
-38636296.35,35242059.35
41792638.72,79690243.28
97117515.52,130117400.5
190346835.3,20363619.73
-2005293.197,77580929.2
160834099.5,-10029565.54
-16969002.75,13203363.75
16421327.02,-21372372.02
-5135822.535,-7829345.465
38589410.46,35766970.54
9811532.309,43101638.69
163086694,-112455576
67729685.98,-92688318.98
113264588.5,-32350143.54
52203808.83,36301218.17
-31732.967,449492.967
192861334.4,-201399345.4
51258459.32,-55728243.32
-175585585.4,176160208.4
73510673.84,-75926542.84
126348005.3,-128618005.3
-35952676.23,34664513.23
35791763.16,24149051.84
140948679.3,-46935170.34
